NIST SP 1038 The international system of units (SI) - conversion factors for general use
https://doi.org/10.6028/NIST.SP.1038 
group,source_unit,metric_unit,conversion_factor
space_time,Radian,degree_arc,57.29578
space_time,Fathom,meter,1.828804
space_time,foot,meter,0.3048
space_time,inch,meter,0.0254
space_time,yard,meter,0.9144
space_time,mile,kilometer,1.609344
space_time,nautical_mile,kilometer,1.852
space_time,knot,kilometer_per_hour,1.852
mechanics,ton_long,kilogram,1016.047
mechanics,ton_short,kilogram,907.18474
mechanics,slug,kilogram,14.5939
mechanics,pound,kilogram,0.45359237
mechanics,ounce,kilogram,0.02834952
mechanics,ounce_troy,kilogram,0.03110348
mechanics,grain,kilogram,0.00006479891
mechanics,standard_atmosphere,kilopascal,101.325
mechanics,bar,kilopascal,100
mechanics,psi,kilopascal,6.894757
mechanics,inch_of_mercury,kilopascal,3.38638
mechanics,inch_of_water,kilopascal,0.249082
mechanics,foot_of_water,kilopascal,2.98907
mechanics,centipoise,Pascal_second,0.001
mechanics,centistokes,square_meter_per_second,0.000001
mechanics,kilowatt_hour,megajoule,3.6
mechanics,calorie,joule,4.184
mechanics,horsepower,kilowatt,0.7456999
mechanics,foot_pound_force,joule,1.355818
heat,btu_per_pound,joule_per_kilogram,2326.0
electromagnetic,gauss,tesla,0.0001
electromagnetic,ampere_hour,coulomb,3600.0
radiation,phot,lux,10000.0
radiology,Curie,megabecquerel,37000.0
radiology,Roentgen,coulomb_per_kilogram,0.000258
